team_abbr,team_full,primary_color,secondary_color,logo_url
ATH,Athletics,#003831,#EFB21E,https://a.espncdn.com/i/teamlogos/mlb/500/ATH.png
PIT,Pittsburgh Pirates,#FDB827,#27251F,https://a.espncdn.com/i/teamlogos/mlb/500/PIT.png
SD,San Diego Padres,#2F241D,#FFC425,https://a.espncdn.com/i/teamlogos/mlb/500/SD.png
SEA,Seattle Mariners,#0C2C56,#005C5C,https://a.espncdn.com/i/teamlogos/mlb/500/SEA.png
SF,San Francisco Giants,#FD5A1E,#27251F,https://a.espncdn.com/i/teamlogos/mlb/500/SF.png
STL,St. Louis Cardinals,#C41E3A,#0C2340,https://a.espncdn.com/i/teamlogos/mlb/500/STL.png
TB,Tampa Bay Rays,#092C5C,#8FBCE6,https://a.espncdn.com/i/teamlogos/mlb/500/TB.png
TEX,Texas Rangers,#003278,#C0111F,https://a.espncdn.com/i/teamlogos/mlb/500/TEX.png
TOR,Toronto Blue Jays,#134A8E,#E8291C,https://a.espncdn.com/i/teamlogos/mlb/500/TOR.png
MIN,Minnesota Twins,#002B5C,#D31145,https://a.espncdn.com/i/teamlogos/mlb/500/MIN.png
PHI,Philadelphia Phillies,#E81828,#002D72,https://a.espncdn.com/i/teamlogos/mlb/500/PHI.png
ATL,Atlanta Braves,#CE1141,#13274F,https://a.espncdn.com/i/teamlogos/mlb/500/ATL.png
CWS,Chicago White Sox,#27251F,#C4CED4,https://a.espncdn.com/i/teamlogos/mlb/500/CWS.png
MIA,Miami Marlins,#00A3E0,#EF3340,https://a.espncdn.com/i/teamlogos/mlb/500/MIA.png
NYY,New York Yankees,#003087,#E4002B,https://a.espncdn.com/i/teamlogos/mlb/500/NYY.png
MIL,Milwaukee Brewers,#12284B,#FFC52F,https://a.espncdn.com/i/teamlogos/mlb/500/MIL.png
LAA,Los Angeles Angels,#BA0021,#003263,https://a.espncdn.com/i/teamlogos/mlb/500/LAA.png
AZ,Arizona Diamondbacks,#A71930,#E3D4AD,https://a.espncdn.com/i/teamlogos/mlb/500/AZ.png
BAL,Baltimore Orioles,#DF4601,#000000,https://a.espncdn.com/i/teamlogos/mlb/500/BAL.png
BOS,Boston Red Sox,#BD3039,#0C2340,https://a.espncdn.com/i/teamlogos/mlb/500/BOS.png
CHC,Chicago Cubs,#0E3386,#CC3433,https://a.espncdn.com/i/teamlogos/mlb/500/CHC.png
CIN,Cincinnati Reds,#C6011F,#000000,https://a.espncdn.com/i/teamlogos/mlb/500/CIN.png
CLE,Cleveland Guardians,#0C2340,#E31937,https://a.espncdn.com/i/teamlogos/mlb/500/CLE.png
COL,Colorado Rockies,#33006F,#C4CED4,https://a.espncdn.com/i/teamlogos/mlb/500/COL.png
DET,Detroit Tigers,#0C2340,#FA4616,https://a.espncdn.com/i/teamlogos/mlb/500/DET.png
HOU,Houston Astros,#002D62,#EB6E1F,https://a.espncdn.com/i/teamlogos/mlb/500/HOU.png
KC,Kansas City Royals,#004687,#BD9B60,https://a.espncdn.com/i/teamlogos/mlb/500/KC.png
LAD,Los Angeles Dodgers,#005A9C,#A5ACAF,https://a.espncdn.com/i/teamlogos/mlb/500/LAD.png
WSH,Washington Nationals,#AB0003,#14225A,https://a.espncdn.com/i/teamlogos/mlb/500/WSH.png
NYM,New York Mets,#002D72,#FF5910,https://a.espncdn.com/i/teamlogos/mlb/500/NYM.png
